date,sintomas do covid,covid-19,sintomas do covid 19,dor de garganta,dor de cabeça,perda olfato,olfato e paladar perda,perda de paladar,login caixa auxilio emergencial,reabertura comercio,reabertura shopping,reabertura academias,reabertura escolas,plano de reabertura,olfato,paladar e olfato,covid 19 sintomas,exame cotonete,teste covid,teste coronavírus,teste rapido de coronavírus,termometro digital,termometro,febre,falta de ar sintomas,falta de ar,ansiedade,tosse,cansaço,sintomas coronavirus,nariz entupido,oximetro,oximetro de dedo,tomar ivermectina,ivermectina coronavírus,para que serve ivermectina,azitromicina,ivermectina covid como tomar,casos novos coronavírus,seguro desemprego entrada,seguro desemprego emergencial,como dar entrada no seguro desemprego,auxilio desemprego,pico brasil,pico coronavírus,brasil coronavírus,coronavírus brasil pico,coronavírus pico brasil,covid,pico pandemia,coronavírus no brasil,pico corona,brasil pico da pandemia,covid brasil,cesta básica,cesta básica cras,coronavírus grupo de risco,grupo de risco covid,corona grupo de risco,ministerio da saude,leitos de uti,leitos uti brasil,taxa de ocupação de leitos,fazer máscara,máscara,máscara tecido,como fazer máscara,máscara n95,máscara de tecido como fazer,máscara descartável,máscara proteção,máscaras,máscara de tecido,coronavírus vacina,vacina corona,vacina china,covid 19,covid pcr,pcr exame covid,exame covid,pcr,pcr coronavírus,teste rápido covid,teste rápido coronavírus,igg,igm,igg igm,covid igg,covid igm igg,reagente igg,teste igg,exame igg,isolamento social,quarentena,coronavírus quarentena,quarentena dia,quarentena brasil,fim quarentena,coronavírus idosos,como funciona lockdown,lockdown brasil,lockdown covid,decreto lockdown,brasil coronavírus mortes,mortes corona,mortes por coronavírus,decreto quarentena,coronavírus oms,oms corona,covid 19 oms,cloroquina,oms coronavírus,máscara oms,oms brasil coronavírus,álcool gel,álcool 70,coronavírus imunidade,respirador mecanico,respirador,respirador hospitalar,medicamento coronavírus,medicamento corona,estou com covid,peguei covid
2020-02-23,0,2,0,54,72,0,0,0,0,0,0,0,0,0,3,0,1,9,0,3,0,26,31,53,15,27,78,50,66,22,65,5,4,0,0,5,29,0,0,19,0,10,3,5,0,8,0,0,2,0,8,1,0,1,7,0,0,0,1,15,0,2,0,4,17,0,3,31,0,11,9,11,0,6,9,2,3,0,0,0,13,0,0,0,17,10,7,0,0,12,7,12,1,2,2,0,1,1,4,0,0,0,0,1,6,2,0,6,8,3,1,6,0,0,5,5,5,1,9,0,3,5,0,0
2020-03-01,0,2,0,46,70,2,1,1,0,0,0,0,0,0,7,2,2,21,0,2,0,29,34,53,17,23,80,46,65,14,55,4,3,2,0,5,28,0,0,20,0,12,6,4,0,5,0,0,2,0,5,0,0,1,7,0,2,0,1,16,0,0,0,2,10,0,3,4,0,5,4,6,0,5,4,3,2,0,0,0,14,0,0,0,21,14,11,0,0,15,2,16,1,1,6,0,1,0,0,0,0,0,0,0,3,0,1,7,9,1,0,7,8,0,4,4,0,1,4,1,2,2,2,0
2020-03-08,3,8,4,57,76,1,0,2,0,0,0,0,0,0,6,2,12,15,1,29,0,35,44,63,20,28,81,54,81,42,65,6,3,2,0,2,26,0,39,18,0,8,4,8,9,18,5,5,9,0,18,4,0,7,6,0,8,7,7,38,9,6,0,2,18,0,5,25,0,16,14,10,0,15,26,4,14,0,0,3,16,0,0,0,21,13,12,0,0,19,2,19,1,6,11,1,12,0,4,0,0,0,0,5,14,6,1,18,28,20,1,18,0,40,14,11,20,1,7,1,19,20,0,0
2020-03-15,24,40,20,100,94,6,4,1,0,0,1,0,0,0,7,2,51,15,7,100,0,87,90,100,83,78,78,100,86,100,89,6,4,1,0,4,71,0,78,36,0,21,8,44,56,82,34,34,59,11,80,51,6,45,17,15,100,100,100,100,58,55,0,23,59,15,20,93,4,100,86,38,11,78,100,100,87,3,4,12,19,30,0,36,24,16,10,0,0,12,3,17,28,83,78,37,75,6,100,0,2,3,0,60,82,55,42,100,100,100,45,100,33,63,100,100,100,26,53,95,100,100,19,15
2020-03-22,20,56,16,97,93,29,17,22,0,14,2,0,35,0,30,17,42,23,9,65,33,85,99,93,100,100,97,94,82,40,99,9,9,2,0,0,68,0,100,49,5,47,17,99,96,100,52,52,76,40,100,100,40,85,53,20,46,92,51,87,100,100,0,34,55,25,28,79,12,80,79,46,24,39,36,14,100,3,1,10,20,30,7,70,26,16,20,1,3,16,12,12,67,100,100,100,100,100,57,0,12,17,2,100,100,100,100,66,72,86,67,66,65,39,34,39,41,100,100,100,66,66,22,8
2020-03-29,17,53,15,57,92,35,24,15,0,17,3,0,11,0,27,26,39,24,12,38,31,77,77,62,73,78,96,58,68,12,84,11,10,3,4,4,39,0,22,63,11,62,22,100,95,78,96,96,69,50,77,72,52,73,81,19,35,55,22,85,31,13,4,83,67,68,81,100,78,86,85,54,64,28,26,6,82,4,3,11,22,14,12,85,27,16,16,3,10,17,19,29,71,66,62,76,63,78,21,0,7,2,0,87,53,77,57,43,34,49,27,43,31,7,13,18,25,43,63,53,23,13,18,4
2020-04-05,32,51,28,49,85,22,31,23,36,14,3,3,4,0,31,24,51,9,11,35,0,56,66,54,45,62,92,45,67,10,48,9,9,4,33,12,41,1,22,73,78,74,100,66,84,71,87,87,69,46,63,42,36,69,90,10,20,54,11,52,40,19,4,93,73,79,81,72,84,64,100,70,76,19,11,5,73,6,4,11,19,0,24,0,28,21,17,4,4,12,30,10,63,55,64,52,43,68,19,0,3,2,0,73,38,61,62,36,26,38,58,36,47,22,7,10,7,23,41,18,31,19,18,0
2020-04-12,89,54,93,47,88,65,58,50,59,17,5,8,26,0,64,65,74,9,17,58,0,73,76,56,45,50,88,42,59,8,66,10,9,5,14,11,41,0,44,100,82,94,57,64,77,71,72,72,74,42,50,42,46,66,90,38,20,82,7,52,44,25,12,86,85,93,84,46,70,59,82,78,83,30,10,5,79,6,8,16,28,100,17,34,41,25,34,15,19,13,28,28,100,54,89,56,41,69,30,0,11,10,0,74,32,58,41,24,17,29,41,24,54,15,6,9,23,21,34,19,58,25,33,7
2020-04-19,100,49,100,50,100,96,66,77,76,26,31,17,59,11,75,87,78,31,22,63,0,67,76,64,53,57,88,43,77,8,71,34,30,2,7,17,46,1,15,90,85,100,57,57,100,61,100,100,72,38,40,27,38,65,78,100,24,70,7,36,48,16,12,100,100,100,100,42,100,43,91,100,100,40,12,4,76,10,7,21,27,43,26,84,43,34,33,22,31,22,41,36,74,44,56,43,29,91,17,0,5,5,4,70,24,47,34,32,13,21,17,32,0,0,5,6,44,13,33,19,38,11,33,4
2020-04-26,44,53,40,54,98,100,92,96,100,26,31,17,22,11,100,100,100,18,44,28,31,89,88,65,58,67,95,43,86,8,84,100,100,9,7,51,83,6,15,81,76,80,43,85,75,45,91,91,94,100,32,38,94,87,100,81,13,84,7,34,35,16,4,66,93,65,67,44,66,48,64,86,63,30,12,5,89,17,13,34,28,58,49,34,52,44,48,37,37,19,52,31,78,44,38,55,30,57,9,2,25,19,6,56,27,52,31,24,8,23,9,24,70,67,4,5,25,23,43,14,18,12,53,15
