date,sintomas do covid,covid-19,sintomas do covid 19,dor de garganta,dor de cabeça,perda olfato,olfato e paladar perda,perda de paladar,login caixa auxilio emergencial,reabertura comercio,reabertura shopping,reabertura academias,reabertura escolas,plano de reabertura,olfato,paladar e olfato,covid 19 sintomas,exame cotonete,teste covid,teste coronavírus,teste rapido de coronavírus,termometro digital,termometro,febre,falta de ar sintomas,falta de ar,ansiedade,tosse,cansaço,sintomas coronavirus,nariz entupido,oximetro,oximetro de dedo,tomar ivermectina,ivermectina coronavírus,para que serve ivermectina,azitromicina,ivermectina covid como tomar,casos novos coronavírus,seguro desemprego entrada,seguro desemprego emergencial,como dar entrada no seguro desemprego,auxilio desemprego,pico brasil,pico coronavírus,brasil coronavírus,coronavírus brasil pico,coronavírus pico brasil,covid,pico pandemia,coronavírus no brasil,pico corona,brasil pico da pandemia,covid brasil,cesta básica,cesta básica cras,coronavírus grupo de risco,grupo de risco covid,corona grupo de risco,ministerio da saude,leitos de uti,leitos uti brasil,taxa de ocupação de leitos,fazer máscara,máscara,máscara tecido,como fazer máscara,máscara n95,máscara de tecido como fazer,máscara descartável,máscara proteção,máscaras,máscara de tecido,coronavírus vacina,vacina corona,vacina china,covid 19,covid pcr,pcr exame covid,exame covid,pcr,pcr coronavírus,teste rápido covid,teste rápido coronavírus,igg,igm,igg igm,covid igg,covid igm igg,reagente igg,teste igg,exame igg,isolamento social,quarentena,coronavírus quarentena,quarentena dia,quarentena brasil,fim quarentena,coronavírus idosos,como funciona lockdown,lockdown brasil,lockdown covid,decreto lockdown,brasil coronavírus mortes,mortes corona,mortes por coronavírus,decreto quarentena,coronavírus oms,oms corona,covid 19 oms,cloroquina,oms coronavírus,máscara oms,oms brasil coronavírus,álcool gel,álcool 70,coronavírus imunidade,respirador mecanico,respirador,respirador hospitalar,medicamento coronavírus,medicamento corona,estou com covid,peguei covid
2020-02-23,1,1,1,91,68,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,,36,23,51,8,25,63,43,39,23,21,11,5,0,0,0,49,0,,17,0,0,0,4,0,11,,0,2,0,9,0,0,0,0,,0,0,0,9,0,0,0,0,19,0,3,29,0,14,6,10,0,7,10,0,3,0,0,0,12,,0,0,26,4,0,0,0,0,0,24,0,2,0,3,2,0,0,0,0,0,0,0,6,0,0,0,7,13,2,0,0,,5,4,0,8,5,0,0,0,0,0
2020-03-01,0,1,0,51,66,0,0,0,0,0,0,0,0,0,8,7,2,0,0,0,,16,47,53,7,22,60,47,46,12,51,7,0,5,0,0,46,0,,20,0,5,4,0,0,4,,0,1,0,4,0,0,0,0,,0,0,4,14,0,0,0,2,9,1,0,10,0,9,0,5,1,4,3,0,2,0,0,0,12,,0,0,18,6,8,0,0,15,12,43,2,1,14,0,2,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,,4,2,0,0,4,0,16,6,0,0
2020-03-08,6,6,4,78,66,0,0,0,0,0,0,0,0,0,11,0,13,0,1,36,,44,40,67,29,22,72,50,59,34,47,4,0,3,0,6,28,0,,16,0,10,4,4,0,22,,0,7,0,17,0,0,8,2,,0,0,12,34,7,0,0,3,17,0,4,16,2,13,5,17,0,17,20,1,9,0,0,0,23,,0,0,13,13,4,0,0,0,0,11,0,5,0,3,10,0,0,0,0,0,0,0,8,0,0,17,12,24,0,17,0,,8,8,14,0,5,7,33,12,8,0
2020-03-15,29,34,18,100,82,0,0,0,0,3,0,0,0,0,5,0,76,0,6,65,,44,75,100,79,91,70,97,59,100,100,6,5,0,0,0,100,0,,27,0,21,0,36,13,84,,0,50,0,90,60,0,40,2,,100,43,100,100,14,25,0,15,60,5,27,100,2,100,53,36,6,85,100,100,78,0,0,10,22,,0,0,21,7,8,0,0,8,0,33,22,84,50,36,58,5,100,0,0,0,0,44,72,47,48,100,89,59,46,100,0,,100,100,100,50,32,100,67,100,0,0
2020-03-22,35,49,30,90,83,9,0,0,0,15,0,0,25,0,19,0,74,0,7,86,,49,82,96,100,100,69,100,44,41,71,18,5,0,0,0,78,0,,49,5,26,8,85,52,100,,0,64,56,100,87,13,78,16,,37,100,71,89,100,100,0,23,55,22,30,89,14,82,47,45,19,44,55,12,100,0,0,7,25,,8,100,23,30,16,0,0,0,0,11,93,100,100,100,100,79,50,0,0,23,0,100,100,75,36,66,100,24,71,66,0,,27,35,42,100,100,85,100,35,8,0
2020-03-29,16,53,11,73,67,18,16,0,0,23,0,0,24,0,33,13,49,40,16,20,,61,59,55,60,72,81,50,44,10,62,18,17,0,22,0,59,0,,46,9,53,19,100,74,85,,33,55,42,77,100,13,62,70,,12,40,19,64,7,0,0,58,56,51,60,98,59,53,44,47,38,36,29,5,71,5,9,7,21,,14,0,41,15,7,0,15,7,0,10,90,61,40,72,54,55,23,0,15,11,0,85,52,100,100,31,44,77,32,31,0,,12,16,13,67,58,33,31,0,0,0
2020-04-05,24,53,17,62,82,0,16,0,39,15,0,0,0,0,18,0,61,0,11,34,,36,49,56,61,54,82,43,31,8,27,11,9,5,34,11,39,0,,53,75,49,100,85,100,87,,100,55,11,74,44,51,72,64,,0,41,8,60,41,0,0,63,74,66,54,70,40,41,100,76,56,32,12,1,64,8,9,11,18,,7,48,39,22,19,7,0,0,24,31,98,52,55,39,35,70,24,0,0,11,0,76,35,48,56,32,51,45,50,32,68,,5,12,14,27,32,14,32,17,0,0
2020-04-12,100,48,91,49,68,27,0,24,97,12,0,12,0,0,13,0,100,0,15,34,,41,65,52,41,46,79,35,39,6,22,10,13,3,23,0,38,0,,55,79,54,42,71,50,86,,33,57,42,56,38,0,58,78,,47,68,0,49,47,71,0,84,98,85,96,64,31,53,89,99,77,22,19,7,66,8,0,24,35,,7,0,42,22,19,20,31,7,36,21,79,44,41,20,31,65,47,0,0,11,33,67,24,45,0,16,17,11,41,16,0,,5,11,27,34,33,7,47,17,36,0
2020-04-19,98,41,100,63,83,9,0,0,99,18,0,25,74,0,5,14,89,41,11,42,,42,74,51,14,54,71,28,31,6,41,35,27,3,0,6,37,0,,100,100,100,74,38,38,78,,0,55,11,44,32,13,65,40,,24,76,8,33,55,24,0,100,100,100,100,51,100,42,91,100,100,22,12,3,62,3,0,8,27,,7,0,30,19,15,20,16,0,24,32,81,41,62,37,30,100,48,0,16,0,0,35,16,36,34,0,23,23,16,0,34,,3,6,27,21,21,14,32,0,7,0
2020-04-26,20,49,20,43,62,0,16,17,100,48,30,25,0,54,24,14,95,0,19,7,,37,67,44,21,35,68,26,37,5,28,100,100,5,0,35,31,0,,72,82,40,55,97,64,51,,51,63,77,34,65,92,80,100,,12,70,0,38,7,49,0,45,82,52,52,41,44,25,41,90,50,25,10,7,64,11,0,23,34,,15,0,33,29,23,21,24,8,25,43,74,34,7,34,24,29,0,0,48,11,0,87,24,46,23,16,0,23,5,16,0,,5,6,0,0,19,0,16,6,15,0
