,referencia,query,Categoria,Subcategoria
1,erupção cutânea,sintomas do covid,Sintoma,geral
2,erupção cutânea,covid-19,Vírus ou Doença,geral
3,erupção cutânea,sintomas do covid 19,Sintoma,geral
4,dor de garganta,dor de garganta,Sintoma,gripais
5,dor de cabeça,dor de cabeça,Sintoma,geral
6,olfato,perda olfato,Sintoma,específicos
7,olfato,olfato e paladar perda,Sintoma,específicos
8,olfato,perda de paladar,Sintoma,específicos
9,login caixa,login caixa auxilio emergencial,Socioeconômico,auxílio emergencial e seguro desemprego
10,reabertura,reabertura comercio,Socioeconômico,reabertura
11,reabertura,reabertura shopping,Socioeconômico,reabertura
12,reabertura,reabertura academias,Socioeconômico,reabertura
13,reabertura,reabertura escolas,Socioeconômico,reabertura
14,reabertura,plano de reabertura,Socioeconômico,reabertura
15,paladar,olfato,Sintoma,específicos
16,paladar,paladar e olfato,Sintoma,específicos
17,paladar,covid 19 sintomas,Sintoma,geral
18,cotonete,exame cotonete,Prevenção e Testes,pcr
19,teste rapido,teste covid,Prevenção e Testes,geral
20,teste rapido,teste coronavírus,Prevenção e Testes,geral
21,teste rapido,teste rapido de coronavírus,Prevenção e Testes,teste rápido
22,termometro,termometro digital,Prevenção e Testes,termômetro
23,termometro,termometro,Prevenção e Testes,termômetro
24,termometro,febre,Sintoma,gripais
25,falta de ar,falta de ar sintomas,Sintoma,gripais
26,falta de ar,falta de ar,Sintoma,gripais
27,falta de ar,ansiedade,Sintoma,geral
28,falta de ar,tosse,Sintoma,gripais
29,falta de ar,cansaço,Sintoma,geral
30,congestão nasal,sintomas coronavirus,Sintoma,geral
31,congestão nasal,nariz entupido,Sintoma,gripais
32,oxímetro,oximetro,Prevenção e Testes,oxímetro
33,oxímetro,oximetro de dedo,Prevenção e Testes,oxímetro
34,ivermectina,tomar ivermectina,Medicação e Tratamento,ivermectina
35,ivermectina,ivermectina coronavírus,Medicação e Tratamento,ivermectina
36,ivermectina,para que serve ivermectina,Medicação e Tratamento,ivermectina
37,ivermectina,azitromicina,Medicação e Tratamento,azitromicina
38,ivermectina,ivermectina covid como tomar,Medicação e Tratamento,ivermectina
39,novos casos,casos novos coronavírus,Indicadores,geral
40,seguro desemprego,seguro desemprego entrada,Socioeconômico,auxílio emergencial e seguro desemprego
41,seguro desemprego,seguro desemprego emergencial,Socioeconômico,auxílio emergencial e seguro desemprego
42,seguro desemprego,como dar entrada no seguro desemprego,Socioeconômico,auxílio emergencial e seguro desemprego
43,seguro desemprego,auxilio desemprego,Socioeconômico,auxílio emergencial e seguro desemprego
44,pico,pico brasil,Indicadores,pico
45,pico,pico coronavírus,Indicadores,pico
46,pico,brasil coronavírus,Indicadores,pico
47,pico,coronavírus brasil pico,Indicadores,pico
48,pico,coronavírus pico brasil,Indicadores,pico
49,pico,covid,Vírus ou Doença,geral
50,pico,pico pandemia,Indicadores,pico
51,pico,coronavírus no brasil,Indicadores,pico
52,pico,pico corona,Indicadores,pico
53,pico,brasil pico da pandemia,Indicadores,pico
54,pico,covid brasil,Indicadores,pico
