date,sintomas do covid,covid-19,sintomas do covid 19,dor de garganta,dor de cabeça,perda olfato,olfato e paladar perda,perda de paladar,login caixa auxilio emergencial,reabertura comercio,reabertura shopping,reabertura academias,reabertura escolas,plano de reabertura,olfato,paladar e olfato,covid 19 sintomas,exame cotonete,teste covid,teste coronavírus,teste rapido de coronavírus,termometro digital,termometro,febre,falta de ar sintomas,falta de ar,ansiedade,tosse,cansaço,sintomas coronavirus,nariz entupido,oximetro,oximetro de dedo,tomar ivermectina,ivermectina coronavírus,para que serve ivermectina,azitromicina,ivermectina covid como tomar,casos novos coronavírus,seguro desemprego entrada,seguro desemprego emergencial,como dar entrada no seguro desemprego,auxilio desemprego,pico brasil,pico coronavírus,brasil coronavírus,coronavírus brasil pico,coronavírus pico brasil,covid,pico pandemia,coronavírus no brasil,pico corona,brasil pico da pandemia,covid brasil,cesta básica,cesta básica cras,coronavírus grupo de risco,grupo de risco covid,corona grupo de risco,ministerio da saude,leitos de uti,leitos uti brasil,taxa de ocupação de leitos,fazer máscara,máscara,máscara tecido,como fazer máscara,máscara n95,máscara de tecido como fazer,máscara descartável,máscara proteção,máscaras,máscara de tecido,coronavírus vacina,vacina corona,vacina china,covid 19,covid pcr,pcr exame covid,exame covid,pcr,pcr coronavírus,teste rápido covid,teste rápido coronavírus,igg,igm,igg igm,covid igg,covid igm igg,reagente igg,teste igg,exame igg,isolamento social,quarentena,coronavírus quarentena,quarentena dia,quarentena brasil,fim quarentena,coronavírus idosos,como funciona lockdown,lockdown brasil,lockdown covid,decreto lockdown,brasil coronavírus mortes,mortes corona,mortes por coronavírus,decreto quarentena,coronavírus oms,oms corona,covid 19 oms,cloroquina,oms coronavírus,máscara oms,oms brasil coronavírus,álcool gel,álcool 70,coronavírus imunidade,respirador mecanico,respirador,respirador hospitalar,medicamento coronavírus,medicamento corona,estou com covid,peguei covid
2020-02-23,0,2,0,59,71,0,0,1,0,0,0,0,0,0,4,1,1,11,0,4,0,18,31,51,14,26,67,49,62,22,41,4,2,1,0,8,33,0,0,20,0,7,5,3,0,9,0,0,1,0,8,0,0,1,7,0,0,0,1,15,1,0,0,5,17,0,5,26,0,10,15,10,0,5,8,2,3,0,0,0,14,0,0,0,23,8,6,0,0,8,4,11,2,2,1,0,2,0,3,0,0,0,0,0,7,2,0,5,5,2,1,5,0,0,5,5,12,0,8,2,0,4,0,0
2020-03-01,0,2,0,51,72,2,0,0,0,0,0,0,0,0,7,2,1,12,0,2,0,28,33,52,16,22,70,48,60,14,47,4,3,3,0,4,28,0,0,21,0,15,7,4,0,6,0,0,1,0,5,1,0,1,8,0,0,0,0,14,0,0,0,3,10,0,2,5,0,5,4,7,0,4,5,2,3,0,0,0,14,0,0,0,18,10,11,0,0,17,2,20,0,1,4,0,2,0,0,0,0,0,0,0,3,2,1,7,6,0,0,7,6,0,4,3,5,1,3,0,3,2,0,0
2020-03-08,4,9,4,51,71,1,0,3,0,0,0,0,0,0,5,2,10,12,1,21,0,35,47,61,21,30,70,54,70,42,48,6,2,1,0,3,30,0,29,20,0,10,6,3,8,18,0,0,5,0,18,6,0,5,5,0,6,4,10,39,10,6,0,3,18,1,3,18,1,14,11,11,1,13,25,5,14,1,0,2,16,13,0,0,24,11,9,0,0,11,5,36,1,6,10,1,11,1,2,0,1,0,0,4,14,10,1,26,20,17,1,26,0,33,12,11,11,3,10,4,13,11,1,0
2020-03-15,22,43,21,100,100,8,4,2,0,1,1,0,0,0,8,2,53,14,7,100,0,91,96,100,77,78,66,100,74,100,74,7,4,1,0,3,72,0,65,32,0,27,8,34,32,84,25,25,33,9,80,50,10,31,21,18,100,88,100,100,60,33,5,22,56,12,19,83,5,100,87,39,12,92,100,100,85,2,2,14,24,27,1,41,27,13,11,0,0,19,0,22,27,84,87,40,84,6,100,0,4,0,0,68,86,58,42,100,100,100,46,100,29,66,100,100,100,32,55,73,100,100,13,5
2020-03-22,18,57,18,92,96,25,17,22,0,14,3,0,21,3,27,19,41,15,9,61,0,88,95,88,100,100,87,96,65,41,84,11,10,3,0,0,82,0,100,54,2,44,16,87,81,100,58,58,43,20,100,100,24,62,49,4,44,100,45,88,100,100,0,30,54,27,28,77,13,73,82,47,26,51,39,16,100,3,1,11,22,13,7,100,30,16,17,2,3,11,13,16,75,100,89,100,100,100,64,0,12,6,1,100,100,100,100,88,61,96,69,88,46,76,34,40,48,100,100,100,60,56,12,5
2020-03-29,17,53,15,58,87,23,22,20,2,12,3,1,0,0,29,23,37,22,12,40,31,69,77,61,75,78,86,59,65,12,56,10,8,2,6,5,42,0,20,64,12,52,25,100,95,79,63,63,37,41,76,70,53,50,87,29,34,54,22,81,36,18,5,87,67,72,92,100,75,88,83,53,66,34,25,6,80,3,2,10,22,25,5,38,27,15,17,3,6,11,28,19,76,65,63,81,68,93,25,0,3,1,0,91,55,81,61,45,28,47,26,45,33,10,13,18,38,49,62,35,22,20,9,5
2020-04-05,27,54,25,46,83,28,22,33,38,11,0,4,12,0,31,27,49,20,11,38,0,67,65,55,58,63,77,47,60,10,39,9,6,5,21,14,45,0,41,75,87,59,100,66,73,76,80,80,38,28,62,48,23,49,83,4,27,60,11,54,48,18,5,87,72,85,94,60,78,60,100,67,86,24,11,5,74,5,2,11,19,38,12,58,28,19,20,6,9,11,20,17,73,57,86,53,51,62,16,0,8,5,0,78,39,67,56,43,21,35,57,43,44,31,7,10,15,20,38,12,36,17,16,2
2020-04-12,87,57,87,50,83,60,45,60,60,16,6,13,36,3,66,59,72,7,19,69,0,78,73,55,44,57,77,42,54,9,49,11,10,4,16,17,50,0,7,98,85,100,59,65,65,75,60,60,42,41,49,37,42,45,87,59,19,84,9,49,58,15,30,89,83,88,85,34,69,50,87,81,91,35,14,5,78,10,5,19,25,51,14,58,40,26,33,13,26,18,28,40,100,57,100,57,44,80,39,0,5,6,1,71,32,65,38,37,12,37,42,37,22,0,6,9,20,21,30,8,49,24,18,2
2020-04-19,100,50,100,50,89,77,62,79,60,29,20,16,56,9,79,71,73,17,21,73,62,74,71,60,46,59,79,44,63,8,53,33,23,3,7,20,53,0,7,100,88,84,58,53,100,60,95,95,41,38,38,33,28,45,75,100,21,96,5,39,61,22,15,100,100,100,100,36,100,44,89,100,100,46,12,4,73,12,6,22,27,76,27,77,42,34,35,28,26,17,35,38,84,46,83,40,36,97,32,0,4,0,1,74,27,54,31,33,9,24,18,33,17,31,5,6,28,22,32,16,29,6,25,5
2020-04-26,44,55,38,53,97,100,87,100,100,25,28,22,24,23,100,100,100,26,44,32,31,95,92,63,57,74,83,42,75,8,71,100,100,10,8,44,89,6,14,85,68,87,52,71,90,44,100,100,51,100,35,37,85,59,100,42,6,88,6,34,40,15,5,67,90,59,71,34,56,44,73,83,67,28,13,4,90,18,12,37,35,13,34,19,48,41,50,34,30,22,52,36,96,45,41,48,27,57,2,1,21,10,2,67,27,52,28,33,8,20,11,33,33,62,4,6,18,17,43,15,17,6,24,5
